NAME	TITLE	SCORE	
RBBP8	na	0.24791346	
ART1	na	0.24761853	
RGS10	na	0.2475785	
VRK1	na	0.24709177	
MMD	na	0.24680203	
ME1	na	0.24642712	
PIP5K1A	na	0.2459136	
CFB	na	0.24589689	
MEP1A	na	0.24548343	
MBD2	na	0.2452018	
ITGB3BP	na	0.24507786	
DDX3Y	na	0.24459085	
ZNF35	na	0.24410874	
KIF20B	na	0.24238642	
PPP1R13B	na	0.24111986	
KIF2A	na	0.24011222	
IL1R1	na	0.23987842	
ODZ1	na	0.2397782	
BDH1	na	0.2391997	
CCND3	na	0.23908554	
ACPP	na	0.23907705	
GRAMD4	na	0.23896472	
SLC43A1	na	0.23813018	
UNC13B	na	0.23753424	
CD93	na	0.23751692	
NCF2	na	0.2367258	
RNASE2	na	0.2365984	
EMP1	na	0.23588958	
ALDH4A1	na	0.2357802	
HOPX	na	0.23531848	
MTSS1L	na	0.2352938	
MTMR2	na	0.2351574	
STK38L	na	0.23509543	
COG4	na	0.23495528	
CEACAM1	na	0.23407964	
FOLR2	na	0.23403485	
CD8A	na	0.23392805	
KDM1A	na	0.23392016	
BRD8	na	0.23356767	
POU2AF1	na	0.23346177	
SOX9	na	0.2331617	
LAPTM4B	na	0.233129	
DCTN3	na	0.23297639	
MEGF9	na	0.23286447	
NFIB	na	0.23229611	
RRAS2	na	0.23222837	
DCLRE1A	na	0.23203652	
DNAJC9	na	0.23191327	
LGALS1	na	0.23186333	
ICT1	na	0.23184662	
MAP4K4	na	0.23170608	
SHFM1	na	0.23140898	
ZBTB25	na	0.23136437	
UBR5	na	0.2309438	
RIMS2	na	0.23082195	
SLC25A13	na	0.2307976	
CDH1	na	0.22999261	
CYP1B1	na	0.22966993	
RBP1	na	0.2291597	
PLXNB2	na	0.22914608	
FAH	na	0.22907086	
HSPB11	na	0.22906467	
E2F5	na	0.22884156	
RANGAP1	na	0.22879593	
PRIM1	na	0.22877643	
PHLPP1	na	0.2286772	
ABHD5	na	0.22803882	
SMC2	na	0.22774538	
SEC31B	na	0.22745748	
KIF3A	na	0.22734016	
ZCCHC14	na	0.22707362	
THBS4	na	0.22689325	
ANXA2	na	0.22685914	
DUSP1	na	0.22625223	
MCM3	na	0.22600615	
KIAA1279	na	0.22579746	
RBBP4	na	0.22536314	
ZNF167	na	0.22519226	
RNF103	na	0.22516344	
DCK	na	0.22512446	
RPA1	na	0.22487095	
SAR1A	na	0.22481056	
IFT27	na	0.22455876	
MRPS31	na	0.22430097	
FCGR2A	na	0.22415069	
GZMH	na	0.22401936	
ZCCHC24	na	0.22399957	
RUVBL1	na	0.22356804	
RABGAP1	na	0.22345956	
ACOT13	na	0.2233979	
PPAT	na	0.22305162	
SRPK1	na	0.22277334	
USP1	na	0.22255534	
CD302	na	0.22174394	
TOP1	na	0.22157733	
GRSF1	na	0.22134526	
SATB2	na	0.22072168	
DUSP14	na	0.2206004	
PRKRA	na	0.2200348	
SCO2	na	0.21937278	
POU1F1	na	0.21919188	
MAGEC1	na	0.21840218	
AMFR	na	0.21833429	
CCNG2	na	0.21826172	
ILF3	na	0.21809973	
ACTL6A	na	0.218027	
UBE2H	na	0.21758264	
YWHAH	na	0.21739863	
SNAPC1	na	0.21730249	
CLPP	na	0.21701883	
TAX1BP3	na	0.21662913	
KRT14	na	0.21583523	
RAB11B	na	0.21568821	
IKBKE	na	0.21567033	
IL18R1	na	0.21561818	
DUT	na	0.21553278	
CETN3	na	0.21530591	
GK	na	0.21530563	
DPY19L4	na	0.21507566	
AMPD1	na	0.21507323	
TBC1D22A	na	0.21473418	
DBI	na	0.2146107	
AP3S1	na	0.21452242	
LHB	na	0.21379177	
HOXC4	na	0.21373191	
USP7	na	0.21341899	
SGTA	na	0.21325639	
POLD3	na	0.21325193	
ZNF365	na	0.21315846	
GLE1	na	0.21276645	
IRS1	na	0.21276274	
SEL1L3	na	0.21255319	
COL4A6	na	0.21200389	
IPO5	na	0.21189122	
NT5C2	na	0.21156543	
VLDLR	na	0.21152425	
CDKN2A	na	0.21094541	
GPLD1	na	0.21092722	
ISG20	na	0.21071966	
TFAP2B	na	0.2105941	
PLXND1	na	0.20994975	
AP1S1	na	0.20981112	
DYRK1A	na	0.20971647	
BLM	na	0.20936166	
STX2	na	0.2093002	
CLIC4	na	0.20914207	
EIF4A3	na	0.20911488	
RFC2	na	0.20868337	
MYO5A	na	0.20845707	
OLR1	na	0.20810492	
INSR	na	0.20774648	
YWHAE	na	0.20770144	
PRKAA2	na	0.20745885	
HIVEP1	na	0.20739214	
ADIPOQ	na	0.20680407	
HNRNPAB	na	0.20666276	
LRRC15	na	0.20651668	
IGSF6	na	0.20648432	
TCEA1	na	0.20642492	
DEK	na	0.20626833	
