NAME	TITLE	SCORE	
SMAP1	na	0.3241739	
ATP5L	na	0.32356882	
RRAS2	na	0.3226	
CEP152	na	0.3214567	
KIF2A	na	0.32119277	
WRB	na	0.32106915	
PRSS3	na	0.3205699	
CLTC	na	0.31981286	
MBNL2	na	0.3195507	
MCM2	na	0.3189375	
RAB3GAP2	na	0.31885856	
KCTD20	na	0.31728807	
STC1	na	0.31696957	
RNF19B	na	0.31671917	
ETFDH	na	0.3165119	
CYP7B1	na	0.3145095	
STK38L	na	0.31389487	
SEC24D	na	0.31345937	
LGALS2	na	0.3134263	
SCHIP1	na	0.3133121	
RAPGEF1	na	0.31326592	
ALDOB	na	0.31295547	
RBBP8	na	0.3124866	
CD2	na	0.31222844	
C13orf27	na	0.31222665	
ACYP2	na	0.31211358	
CUX1	na	0.3113528	
FRK	na	0.31100434	
BCKDHB	na	0.3105452	
SCARF1	na	0.31034967	
IL1R1	na	0.31021944	
PDCL	na	0.31016433	
CASP6	na	0.30996776	
HIVEP1	na	0.3098373	
MTERFD2	na	0.30974784	
PRDX6	na	0.30961487	
RFC1	na	0.30911627	
ELK3	na	0.30872935	
SERHL2	na	0.3084396	
TRIM9	na	0.3083484	
KIF5C	na	0.3081859	
HLTF	na	0.30815455	
EEA1	na	0.30677617	
ANK1	na	0.30607176	
GCG	na	0.30559856	
MYL6B	na	0.30521902	
ZKSCAN5	na	0.3051916	
BCL2L11	na	0.3050819	
PFKM	na	0.30507094	
C10orf116	na	0.3048184	
MTSS1L	na	0.30373618	
HIST1H2AI	na	0.30359843	
VPS41	na	0.30307326	
MAP2K6	na	0.30299342	
HDHD1	na	0.30286127	
PHKA1	na	0.30269012	
COPS8	na	0.30246228	
DHRS2	na	0.30223215	
CHGA	na	0.3019662	
GLE1	na	0.30195475	
CYP24A1	na	0.30194706	
QPRT	na	0.30194417	
LRMP	na	0.30188453	
MTHFD2	na	0.30177486	
EPCAM	na	0.30166328	
ADAMTSL3	na	0.3016045	
FGFR1OP	na	0.30157456	
OASL	na	0.30155993	
CPNE3	na	0.30100426	
EMP2	na	0.3007538	
